code,Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
K01,CHHAY SOPHEAP,Bricks & Stone,,092948080/098767606,Nº90A, St.271, Toekthla, Sensok, Phnom Penh, Cambodia.,,,,,,,,,,,
K02,HENG SOTHEA,Bricks & Stone,,,,,,,,,,,,,,
K03,ឡឥដ្ឋ ផែនដី,Bricks & Stone,,,,,,,,,,,,,,
C01,ALEX CEMENT,Cement,,,,,,,,,,,,,,
C02,HENG KHEANGHAK,Cement,,,,,,,,,,,,,,
C03,KHEMRARA,Cement,,,,,,,,,,,,,,
C04,SUN DARA,Cement,,,,,,,,,,,,,,
C05,ជីប ម៉ុង-ដែក&ស៊ីម៉ង់,Cement,,017 593 222,#137B, Mao Tse Tung Blvd, ,,,,,,,,,,,
H01,ជាន,Cleaning site work,,,,,,,,,,,,,,
H02,ប៊ុនថា,Cleaning Site work,,,,,,,,,,,,,,
H03,COMBO CLEANING,Cleaning Site work,,,,,,,,,,,,,,
K04,CAMBODIA MOBILE CRANCE,Cleaning Site work,,,,,,,,,,,,,,
P01,CGA PRINTING,Copy & Printing,,,,,,,,,,,,,,
P02,RAKSMEY VICHET,Copy & Printing,,,,,,,,,,,,,,
P03,SPR ADVERTISING,Copy & Printing,,,,,,,,,,,,,,
P04,MEANCHEY PRINTING,Copy & Printing,,,,,,,,,,,,,,
D01,SIGNATURE,Decoration & Design,,,,,,,,,,,,,,
D02,SOK RESMEY,Decoration & Design,,,,,,,,,,,,,,
D03,គង់ វ៉ា,Decoration & Design,,,,,,,,,,,,,,
D04,ជាង ម៉ៅ,Decoration & Design,,,,,,,,,,,,,,
E01,COLBEN ENERGY,Electricity-Site work,,,,,,,,,,,,,,
E02,ELECTRICITE DU CAMBODGE,Electricity-Site work,,023883341/023883646,Obekhaom, St.271, Tuok Kork, ,,,,,,,,,,,
E03,ELECTRICITIE DE KAMPOT,Electricity-Site work,,336211115,Nº33, Kampong Kandal, Kampot City, ,,,,,,,,,,,
E04,ELECTRICITY OF KAMPONG SPEU,Electricity-Site work,,016877330,Kampong Speu,,,,,,,,,,,
E30,PHNOM PENH SEZ,Water-Site Work,,,,,,,,,,,,,,
E31,PHNOM PENH WATER SUPPLY,Water-Site Work,,,,,,,,,,,,,,
Y01,KE KELIT,Electrict system,,,,,,,,,,,,,,
Y02,OBT COMPANY,Electrict system,,,,,,,,,,,,,,
Y03,វេង ហុង,Electrict system,,,,,,,,,,,,,,
Y30,HIGHPLAS,Water System,,,,,,,,,,,,,,
Y31,KAP,Water System,,,,,,,,,,,,,,
Y32,RITH LEAKHENA,Water System,,,,,,,,,,,,,,
Y33,ហែម ប៊ុណ្ណារ៉ាត់,Water-Others,,012533964/010900459,St.351, Boeung KokI, Toul Kork, ,,,,,,,,,,,
V01,MEY SAMBATH,Excavation,,,,,,,,,,,,,,
V02,SUB-HENG SAMAN,Excavation,,012834981/016834981,Chakangrae Krom, Meanchay, ,,,,,,,,,,,
V03,STEEL FORMER,Excavation,,,,,,,,,,,,,,
T01,ICE COMPUTER,Fixed Assets,,023358787,N° 246E0E1, Preah Monivong, ,,,,,,,,,,,
T02,BLUE PRINTER,Fixed Assets,,,,,,,,,,,,,,
T03,BORKEO,Fixed Assets,,,,,,,,,,,,,,
T04,CLINIC MEKONG PHNOM PENH,Fixed Assets,,,,,,,,,,,,,,
T05,LG COMPANY,Fixed Assets,,,,,,,,,,,,,,
T06,OCEPO,Fixed Assets,,,,,,,,,,,,,,
T07,OFFICE PRO,Fixed Assets,,023973737/095283737,Nº16, St.290, Toul Svay Prey II,,,,,,,,,,,,
T08,SREY MOM-LOK JUNK,Fixed Assets,,,,,,,,,,,,,,
T20,TC SURVEYING,Fixed Assets,,089616439,Phnom Penh, Cambodia.,,,,,,,,,,,
T21,TIL,Fixed Assets,,,,,,,,,,,,,,
T22,UMG COMPANY,Fixed Assets,,,,,,,,,,,,,,
T23,VUTHY CONTAINER,Fixed Assets,,,,,,,,,,,,,,
T24,ZHONG HUI EQUIPENT,Fixed Assets,,,,,,,,,,,,,,
T25,GARAGE 5919,Fixed Assets,,,,,,,,,,,,,,
T26,វាន់ គឹន,Fixed Assets,,,,,,,,,,,,,,
T27,សែម ទឹម,Fixed Assets,,,,,,,,,,,,,,
T28,K.U.S Co., Ltd,Fixed Assets,,023980111,Nº1669, St.38, Steng Meahchey,,,,,,,,,,,,
T29,ជប៉ុន,Fixed Assets,,,,,,,,,,,,,,
F01,ACM CONSTRUCTION MATERIAL,Floor Tile,,,,,,,,,,,,,,
F02,JIA HAO GRANITE,Floor tile,,,,,,,,,,,,,,
F03,SOK HENG,Floor Tile,,,,,,,,,,,,,,
F04,SY LEANG,Floor Tile,,,,,,,,,,,,,,
F05,ម៉ៅ គឹមសៀន,Floor tile,,,,,,,,,,,,,,
F06,ស៊ីញ ហាក់ហ៊ួត,Floor Tile,,,,,,,,,,,,,,
F07,ហួរ ហេង គ្រឿងថ្ម,Floor tile,,,,,,,,,,,,,,
L01,ជា វណ្ណា,Fuel & Oil,,,,,,,,,,,,,,
I01,MEKONGNET,Internet service,,,,,,,,,,,,,,
I02,ONLINE INTERNET,Internet service,,,,,,,,,,,,,,
I03,OPENNET,Internet Service,,,,,,,,,,,,,,
I04,VIETTEL (CAMBODIA),Internet service,,,,,,,,,,,,,,
I30,FORTE INSURANCE,Insurance Expense,,,,,,,,,,,,,,
M01,CHHIM CHIV,Material,,010477714/012383183,Nº2100A, St.68, Srahchak, Doun Penh, ,,,,,,,,,,,
M02,I.T COMPUTER,Material,,,,,,,,,,,,,,
M03,KONG SINY,Material,,,,,,,,,,,,,,
M04,SONG HENG,Material,,,,,,,,,,,,,,
M05,YONG LY,Material,,,,,,,,,,,,,,
M06,គង់ ស៊ីចាន់,Material,,,,,,,,,,,,,,
M07,ចែ ថុល,Material,,,,,,,,,,,,,,
M08,ជា តេង,Material,,,,,,,,,,,,,,
M09,ជី ពៅ,Material,,,,,,,,,,,,,,
M10,ដេប៉ូ សោមហ៊ឹង,Material,,,,,,,,,,,,,,
M11,ទាវ ប៉េងសុង,Material,,,,,,,,,,,,,,
M12,បូរីល្អវិចិត្រ,Material,,,,,,,,,,,,,,
M13,ផាត សីហាណា,Material,,,,,,,,,,,,,,
