code,Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
S001,Headquarter,ទីស្នាក់ការកណ្តាល,,,HO,Office,,,,,,,,,,
S002,Stock Center ( Takmao ),ឃ្លាំងធំ ( នៅតាខ្មៅ),,,STT,Takmao City,,,,,,,,,,
S003,General department of agriculture site,ការដ្ឋាន អគ្គនាយកដ្ឋានកសិកម្ម,,,AGD,Phnom Penh,,,,,,,,,,
S004,Khema international hospital site,ការដ្ឋាន មន្ទីពេទ្យខេម៉ា,,,KMH,Phnom Penh,,,,,,,,,,
S005,Tanichu tower site,ការដ្ឋាន Tanichu Tower,,,TNT,Phnom Penh,,,,,,,,,,
S006,Monorom Site,ការដ្ឋាន មនោរម្យ,,,MNR,Phnom Penh,,,,,,,,,,
S007,Svay Rieng Hospital site,ការដ្ឋាន មន្ទីពេទ្យខេត្តស្វាយរៀង,,,SVR,Svay Reing Province,,,,,,,,,,
S008,J-Tower 23 Floor,ការដ្ឋាន អាគារ ២៣ជាន់ ជេថាវើ,,,JT23,Phnom Penh,,,,,,,,,,
S009,Kondo Chruy Changva site,ការដ្ឋាន ខនដូរ ជ្រោយចង្វារ,,,CHR,Phnom Penh,,,,,,,,,,
S010,310,ការដ្ឋាន 310,,,310,Phnom Penh,,,,,,,,,,
S011,Yoes's Store at Chomka Dung site,ការដ្ឋាន ចំការដូង,,,CHD,Phnom Penh,,,,,,,,,,
S012,School-Sothearos's Secondary-PP site,សាលាររៀន-អនុវិទ្យាល័យសុធារស-ភ្នំពេញ,,,SSR,Phnom Penh,,,,,,,,,,
S013,School-Sammkei's Primary-KP site,សាលាររៀន-សាលាបឋមសិក្សាមហាសាមគ្គី-កំពត,,,SKP,Khom Pot Province,,,,,,,,,,
S014,School-Secondary at Province Center-KS site,សាលាររៀន-អនុវិទ្យាល័យទីរួមខេត្ត-កំពង់ស្ពឺ,,,SKS,Khom Pong Speu Pro,,,,,,,,,,
S015,School-Seirey Pheab Highschool-KD site,សាលាររៀន- វិទ្យាល័យ ហ៊ុន សែន សេរីភាព-ខេត្តកណ្តាល,,,SKD,Takmao City,,,,,,,,,,
S016,Boeng Salang Site,,,,BSL,Phnom Penh,,,,,,,,,,
S017,Business HUB,,,,B-HUB,Phnom Penh,,,,,,,,,,
S018,Transportation,,,,,Others,,,,,,,,,,
