code	Company	Name	Email	Phone	Address	City	State	Postal Code	Country	Vat No	CF 1	CF 2	CF 3	CF 4	CF 5	CF 6
K01	CHHAY SOPHEAP	CHHAY SOPHEAP		092948080/098767606	No 90A St.271 Toekthla Sensok  Phnom Penh Cambodia.											
K02	Heng Sothea	Heng Sothea														
K03	????? ?????	????? ?????														
C01	Alex Cement Company	Alex Cement Company														
C02	Heng Kheanghak	Heng Kheanghak														
C03	KHEMRARA	KHEMRARA														
C04	SUN DARA	SUN DARA														
C05	??? ????-???&???????	??? ????-???&???????		017 593 222	#137B Mao Tse Tung Blvd											
H01	???	???														
H02	??????	??????														
H03	CAMBO Cleaning Services	CAMBO Cleaning Services														
K04	Cambodia Mobile Crance Services	Cambodia Mobile Crance Services														
P01	CGA Printing & Advertising	CGA Printing & Advertising														
P02	Raksmey Vichet Printing	Raksmey Vichet Printing														
P03	SPR Advertising Printing	SPR Advertising Printing														
P04	MEANCHEY PRINTING	MEANCHEY PRINTING														
D01	Signature	Signature														
D02	SOK RESMEY	SOK RESMEY														
D03	??? ???	??? ???														
D04	??? ???	??? ???														
E01	COLBEN ENERGY	COLBEN ENERGY														
E02	ELECTRICITE DU CAMBODGE	ELECTRICITE DU CAMBODGE		023883341/023883646	Obekhaom St.271 Tuok Kork											
E03	ELECTRICITIE DE KAMPOT	ELECTRICITIE DE KAMPOT		336211115	No 33 Kampong Kandal Kampot City											
E04	ELECTRICITY OF KAMPONG SPEU	ELECTRICITY OF KAMPONG SPEU		16877330	Kampong Speu											
E30	Phnom Penh SEZ Plc.	Phnom Penh SEZ Plc.														
E31	Phnom Penh Water Supply Authority	Phnom Penh Water Supply Authority														
Y01	KE KELIT	KE KELIT														
Y02	OBT Company	OBT Company														
Y03	??? ???	??? ???														
Y30	Highplas industries co.	Ltd.	Highplas industries co.	Ltd.												
Y31	KAP	KAP														
Y32	RITH LEAKHENA	RITH LEAKHENA														
Y33	??? ????????????	??? ????????????		012533964/010900459	St.351 Boeung KokI Toul Kork											
V01	MEY SAMBATH	MEY SAMBATH														
V02	SUB-HENG SAMAN	SUB-HENG SAMAN		012834981/016834981	Chakangrae Krom Meanchay 											
V03	Steel Former (Cambodia) Co Ltd	Steel Former (Cambodia) Co Ltd														
