code	Company	Name	Email	Phone	Address	City	State	Postal Code	Country	Vat No	CF 1	CF 2	CF 3	CF 4	CF 5	CF 6
K01	CHHAY SOPHEAP	CHHAY SOPHEAP		092948080/098767606	Nº90A	 St.271	 Toekthla	 Sensok	 Phnom Penh	 Cambodia.						
K02	HENG SOTHEA	Heng Sothea														
K03	????? ?????	????? ?????														
C02	HENG KHEANGHAK	Heng Kheanghak														
C04	SUN DARA	SUN DARA														
C05	??? ????-???&???????	??? ????-???&???????		017 593 222	#137B	 Mao Tse Tung Blvd	 									
K01	???	???														
K02	??????	??????														
K03	COMBO CLEANING	CAMBO Cleaning Services														
K04	CAMBODIA MOBILE CRANCE	Cambodia Mobile Crance Services														
P01	CGA PRINTING	CGA Printing & Advertising														
P02	RAKSMEY VICHET	Raksmey Vichet Printing														
P03	SPR ADVERTISING	SPR Advertising Printing														
P04	MEANCHEY PRINTING	MEANCHEY PRINTING														
D01	SIGNATURE	Signature														
D02	SOK RESMEY	SOK RESMEY														
D03	??? ???	??? ???														
D04	??? ???	??? ???														
E01	COLBEN ENERGY	COLBEN ENERGY														
E02	ELECTRICITE DU CAMBODGE	ELECTRICITE DU CAMBODGE		023883341/023883646	Obekhaom	 St.271	 Tuok Kork	 								
E03	ELECTRICITIE DE KAMPOT	ELECTRICITIE DE KAMPOT		336211115	Nº33	 Kampong Kandal	 Kampot City	 								
E04	ELECTRICITY OF KAMPONG SPEU	ELECTRICITY OF KAMPONG SPEU		16877330	Kampong Speu											
E30	PHNOM PENH SEZ	Phnom Penh SEZ Plc.														
E31	PHNOM PENH WATER SUPPLY	Phnom Penh Water Supply Authority														
Y01	KE KELIT	KE KELIT														
Y02	OBT COMPANY	OBT Company														
Y03	??? ???	??? ???														
Y30	HIGHPLAS	Highplas industries co.	Ltd.													
Y31	KAP	KAP														
Y32	RITH LEAKHENA	RITH LEAKHENA														
Y33	??? ????????????	??? ????????????		012533964/010900459	St.351	 Boeung KokI	 Toul Kork	 								
V01	MEY SAMBATH	MEY SAMBATH														
V02	SUB-HENG SAMAN	SUB-HENG SAMAN		012834981/016834981	Chakangrae Krom	 Meanchay	 									
V03	STEEL FORMER	Steel Former (Cambodia) Co.	 Ltd													
T01	ICE COMPUTER	ICE integrated computer enhancement		23358787	N° 246E0E1	 Preah Monivong	 									
T02	BLUE PRINTER	Blue printer solution														
T03	BORKEO	Borkeo														
T04	CLINIC MEKONG PHNOM PENH	CLINIC MEKONG PHNOM PENH														
T05	LG COMPANY	LG														
T06	OCEPO	OCEPO														
T07	OFFICE PRO	Office Pro		023973737/095283737	Nº16	 St.290	 Toul Svay Prey II									
T08	SREY MOM-LOK JUNK	SREY MOM-LOK JUNK														
T20	TC SURVEYING	TC Surveying		89616439	Phnom Penh	 Cambodia.										
T21	TIL	TIL														
T22	UMG COMPANY	UMG Company														
T23	VUTHY CONTAINER	Vuthy Container														
T24	ZHONG HUI EQUIPENT	ZHONGHUIEQUIPMENT MECHANICAL CO.	 LTD													
T25	GARAGE 5919	??????5919														
T26	???? ???	???? ???														
T27	??? ???	??? ???														
T28	K.U.S Co.	 Ltd	K.U.S Co.	 Ltd		23980111	Nº1669	 St.38	 Steng Meahchey							
T29	?????	?????														
F01	ACM CONSTRUCTION MATERIAL	ACM Construction Material														
F02	JIA HAO GRANITE	JIA HAO GRANITE														
F03	SOK HENG	Sok Heng														
F04	SY LEANG	Sy Leang														
F05	??? ??????	??? ??????														
F06	???? ????????	???? ????????														
F07	??? ??? ????????	??? ??? ????????														
L01	?? ?????	?? ?????														
I01	MEKONGNET	MEKONGNET														
I02	ONLINE INTERNET	ONLINE Internet														
I03	OPENNET	OPENNET														
I04	VIETTEL (CAMBODIA)	VIETTEL (CAMBODIA)														
I30	FORTE INSURANCE	FORTE														
M01	CHHIM CHIV	CHHIM CHIV		010477714/012383183	Nº2100A	 St.68	 Srahchak	 Doun Penh	 							
M02	I.T COMPUTER	I.T COMPUTER														
M03	KONG SINY	KONG SINY														
M04	SONG HENG	SONG HENG														
M05	YONG LY	YONG LY														
M06	??? ???????	??? ???????														
M07	?? ???	?? ???														
M08	?? ???	?? ???														
M09	?? ??	?? ??														
M10	????? ???????	????? ???????														
M11	??? ???????	??? ???????														
M12	??????????????	??????????????														
M13	??? ??????	??? ??????														
M14	????????	????????		012880356/069880066	Toul Tompong Market	 Chamkamorn										
M15	??? ???????	??? ???????														
M16	????	????		017888208/0979991999												
M17	YUN SOPHAL	YUN SOPHAL														
M30	HOUT KEAM	Hout Keam														
M50	CHEA SUNLY	CHEA SUNLY		12939319	Nº253	 St.182	 Toek Laak II	 Toul Kork	Phnom Penh	 Cambodia						
M51	NRSS COMLT	NRSS COMLT		12416185												
M80	NET CHINDA	NET CHINDA														
M81	???? ???????	???? ???????		012899465/015467696	St.115	 Taktol	 Takmoa City									
M82	??? ??????????(??????)	??? ??????????(??????)		016833077/012661910	Nº19BEo	 st.156	 Vealvong	 7makara	 							
M83	?? ?????	?? ?????														
M84	???? ???	???? ???														
M85	?? ??????	?? ??????		0955543395/078252272 (Acc)	Nº18Eo	 St.109	 OusseyIII	 7makara	 							
M86	???? ???	???? ???		012714992/016714992	Tropang Kong	 Samrong Tong	 									
M87	BUT SARATH (M)	BUT SARATH (M)														
M88	HUOR KIM CHEA	HUOR KIM CHEA														
M89	??? ?????	??? ?????														
M90	?? ???????	?? ???????		0974665599/0968844800	Samrong Ler	 Ang snuol										
M91	???? ?????	???? ?????														
M92	??? ???????	??? ???????														
M93	?? ????	?? ????														
O01	?? ????????	?? ????????														
O02	ANGKORTHOM BOOK CENTER	ANGKORTHOM BOOK CENTER														
O03	ASIA BOOK SHOP	ASIA BOOK SHOP														
O04	KING A4 PAPER	KING A4 PAPER														
O05	MOKOD REACH	MOKOD REACH														
O06	PHNOM PENH BOOK CENTER	PHNOM PENH BOOK CENTER														
O07	PHNOM PENH COMPUTER	PHNOM PENH COMPUTER														
