code	Company	Name	Email	Phone	Address	City	State	Postal Code	Country	Vat No	CF 1	CF 2	CF 3	CF 4	CF 5	CF 6
K01	CHHAY SOPHEAP	Bricks & Stone		092948080/098767606	Nº90A St.271 Toekthla Sensok											
K02	HENG SOTHEA	Bricks & Stone			Phnom Penh											
K03	????? ?????	Bricks & Stone			Phnom Penh											
C01	ALEX CEMENT	Cement			Phnom Penh											
C02	HENG KHEANGHAK	Cement			Phnom Penh											
C03	KHEMRARA	Cement			Phnom Penh											
C04	SUN DARA	Cement			Phnom Penh											
C05	??? ????-???&???????	Cement		017 593 222	#137B Mao Tse Tung Blvd											
H01	???	Cleaning site work			Phnom Penh											
H02	??????	Cleaning Site work			Phnom Penh											
H03	COMBO CLEANING	Cleaning Site work			Phnom Penh											
K04	CAMBODIA MOBILE CRANCE	Cleaning Site work			Phnom Penh											
P01	CGA PRINTING	Copy & Printing			Phnom Penh											
P02	RAKSMEY VICHET	Copy & Printing			Phnom Penh											
P03	SPR ADVERTISING	Copy & Printing			Phnom Penh											
P04	MEANCHEY PRINTING	Copy & Printing			Phnom Penh											
D01	SIGNATURE	Decoration & Design			Phnom Penh											
D02	SOK RESMEY	Decoration & Design			Phnom Penh											
D03	??? ???	Decoration & Design			Phnom Penh											
D04	??? ???	Decoration & Design			Phnom Penh											
E01	COLBEN ENERGY	Electricity-Site work			Phnom Penh											
E02	ELECTRICITE DU CAMBODGE	Electricity-Site work		023883341/023883646	Obekhaom St.271 Tuok Kork			 								
E03	ELECTRICITIE DE KAMPOT	Electricity-Site work		336211115	Nº33 Kampong Kandal Kampot City			 								
E04	ELECTRICITY OF KAMPONG SPEU	Electricity-Site work		16877330	Kampong Speu											
E30	PHNOM PENH SEZ	Water-Site Work			Phnom Penh											
E31	PHNOM PENH WATER SUPPLY	Water-Site Work			Phnom Penh											
Y01	KE KELIT	Electrict system			Phnom Penh											
Y02	OBT COMPANY	Electrict system			Phnom Penh											
Y03	??? ???	Electrict system			Phnom Penh											
Y30	HIGHPLAS	Water System			Phnom Penh											
Y31	KAP	Water System			Phnom Penh											
Y32	RITH LEAKHENA	Water System			Phnom Penh											
Y33	??? ????????????	Water-Others		012533964/010900459	St.351 Boeung KokI Toul Kork			 								
V01	MEY SAMBATH	Excavation			Phnom Penh											
V02	SUB-HENG SAMAN	Excavation		012834981/016834981	Chakangrae Krom Meanchay											
V03	STEEL FORMER	Excavation			Phnom Penh											
T01	ICE COMPUTER	Fixed Assets		23358787	N° 246E0E1 Preah Monivong											
T02	BLUE PRINTER	Fixed Assets			Phnom Penh											
T03	BORKEO	Fixed Assets			Phnom Penh											
T04	CLINIC MEKONG PHNOM PENH	Fixed Assets			Phnom Penh											
T05	LG COMPANY	Fixed Assets			Phnom Penh											
T06	OCEPO	Fixed Assets			Phnom Penh											
T07	OFFICE PRO	Fixed Assets		023973737/095283737	Nº16 St.290 Toul Svay Prey II											
T08	SREY MOM-LOK JUNK	Fixed Assets			Phnom Penh											
T20	TC SURVEYING	Fixed Assets		89616439	Phnom Penh											
T21	TIL	Fixed Assets			Phnom Penh											
T22	UMG COMPANY	Fixed Assets			Phnom Penh											
T23	VUTHY CONTAINER	Fixed Assets			Phnom Penh											
